Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,21,2.6
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,30,3.7
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,30,3.8
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,23,3.8
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,325,4.1
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,29,4.4
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,49,4.5
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,37,4.5
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,39,4.5
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,374,4.9
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,34,4.9
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,279,5
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,30,5.1
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,40,5.2
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,278,5.2
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,31,5.2
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,30,5.2
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,304,5.3
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,43,5.4
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,306,5.4
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,293,5.4
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,39,5.4
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,33,5.4
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,458,5.5
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,33,5.5
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,58,5.6
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,395,5.6
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,37,5.6
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,487,5.7
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,414,5.7
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,37,5.7
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,38,5.7
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,55,5.8
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,225,5.8
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,474,5.9
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,348,5.9
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,64,5.9
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1169,5.9
